city,country
Amsterdam,Netherlands
Athens,Greece
Atlanta,United States
Auckland,New Zealand
Baltimore,United States
Bangkok,Thailand
Barcelona,Spain
Berlin,Germany
Birmingham - UK,UK
Bochum - Dortmund,Germany
Boston,United States
Brisbane,Australia
Brussels,Belgium
Buenos Aires,Argentina
Cairo,Egypt
Calgary,Canada
Cape Town,South Africa
Chicago,United States
Cologne,Germany
Copenhagen,Denmark
Dallas,United States
Delhi,India
Denver,United States
Detroit,United States
Dubai,United Arab Emirates
Dublin,Ireland
Dusseldorf,Germany
Edmonton,Canada
Frankfurt,Germany
Fukuoka,Japan
Guadalajara,Mexico
Halifax,Canada
Hamburg,Germany
Helsinki,Finland
Houston,United States
Hsin-chu,Taiwan
Istanbul,Turkey
Jakarta,Indonesia
Johannesburg,South Africa
Kuala Lumpur,Malaysia
Leeds,UK
Lille,France
London,UK
Los Angeles,United States
Lyon,France
Madrid,Spain
Manchester,UK
Manila,Philippines
Melbourne,Australia
Mexico City,Mexico
Miami,United States
Milan,Italy
Montreal,Canada
Moscow,Russia
Mumbai,India
Munich,Germany
Nagoya,Japan
New York City,United States
Osaka,Japan
Oslo,Norway
Ottawa,Canada
Paris,France
Perth,Australia
Philadelphia,United States
Rio de Janeiro,Brazil
Riyadh,Saudi Arabia
Rome,Italy
Rotterdam,Netherlands
Saint Petersburg,Russia
San Francisco - Bay Area,United States
Santiago,Chile
Sao Paulo,Brazil
Seattle,United States
Seoul,South Africa
Stockholm,Sweden
Stuttgart,Germany
Sydney,Australia
Taichung,Taiwan
Taipei,Taiwan
Tel Aviv,Israel
Tijuana,Mexico
Tokyo,Japan
Toronto,Canada
Toulouse,France
Utrecht,Netherlands
Vancouver,Canada
Vienna,Austria
Washington DC,United States
Zurich,Switzerland
