sub_and_city,country
Abruzzo Region,Italy
Acre,Brazil
Aguascalientes,Mexico
Aichi Prefecture,Japan
Akita Prefecture,Japan
Alabama,United States
Alagoas,Brazil
Alaska,United States
Alberta,Canada
Albuquerque,United States
Alsace Region,France
Amapá,Brazil
Amazonas,Brazil
Amnat Charoen Province,Thailand
Amsterdam,Netherlands
Andalusia,Spain
Ang Thong Province,Thailand
Ann Arbor,United States
Annapolis,United States
Antofagasta Region,Chile
Antwerp Province,Belgium
Aomori Prefecture,Japan
Apulia Region,Italy
Aquitaine Region,France
Aragon,Spain
Araucanía Region,Chile
Arica and Parinacota Region,Chile
Arizona,United States
Arkansas,United States
Asturias,Spain
Atacama Region,Chile
Athens,Greece
Atlanta,United States
Auckland,New Zealand
Auckland Region,New Zealand
Austin,United States
Australian Capital Territory,Australia
Autonomous Region Aosta Valley,Italy
Autonomous Region Friuli-Venezia Giulia,Italy
Autonomous Region Sardinia,Italy
Autonomous Region Trentino-Alto Adige/Südtirol,Italy
Auvergne Region,France
Aysén del General Carlos Ibáñez del Campo Region,Chile
Bács-Kiskun County,Hungary
Baden-Württemberg,Germany
Bahia,Brazil
Bailiwick of Guernsey,UK
Bailiwick of Jersey,UK
Baja California,Mexico
Baja California Sur,Mexico
Bakersfield,United States
Balearic Islands,Spain
Baltimore,United States
Bangkok,Thailand
Banskobystrický kraj,Slovakia
Baranya County,Hungary
Barcelona,Spain
Basilicata Region,Italy
Basque Country,Spain
Bavaria,Germany
Bay of Plenty Region,New Zealand
Békés County,Hungary
Berlin,Germany
Biobío Region,Chile
Birmingham - Alabama,United States
Birmingham - UK,UK
Blekinge County,Sweden
Bochum - Dortmund,Germany
Borsod-Abaúj-Zemplén County,Hungary
Boston,United States
Brandenburg,Germany
Bratislavský kraj,Slovakia
Bridgeport,United States
Brisbane,Australia
British Columbia,Canada
Brittany Region,France
Brussels,Belgium
Budapest,Hungary
Bueng Kan Province,Thailand
Buenos Aires,Argentina
Burgenland,Austria
Burgundy Region,France
Buri Ram Province,Thailand
Busan Metropolitan City,Republic of Korea
Cairo,Egypt
Calabria Region,Italy
Calgary,Canada
California,United States
Campania Region,Italy
Campeche,Mexico
Canary Islands,Spain
Cantabria,Spain
Canterbury Region,New Zealand
Canton of Aargau,Switzerland
Canton of Appenzell Ausserrhoden,Switzerland
Canton of Appenzell Innerrhoden,Switzerland
Canton of Basel-Landschaft,Switzerland
