Date,State,Region,Retail & recreation,Grocery & pharmacy,Parks,Transit stations,Workplaces,Residential
2020-03-29,Alabama,Total,-41.0,-13.0,19.0,-30.0,-32.0,9.0
2020-03-29,Alabama,Autauga County,-42.0,-8.0,-14.0,,-35.0,16.0
2020-03-29,Alabama,Baldwin County,-47.0,-19.0,-27.0,-24.0,-32.0,9.0
2020-03-29,Alabama,Barbour County,-27.0,-20.0,,,-23.0,
2020-03-29,Alabama,Bibb County,-25.0,-10.0,,,-32.0,
2020-03-29,Alabama,Blount County,-36.0,-2.0,,,-29.0,15.0
2020-03-29,Alabama,Bullock County,-37.0,-13.0,,,-24.0,
2020-03-29,Alabama,Butler County,-37.0,-5.0,,-45.0,-30.0,
2020-03-29,Alabama,Calhoun County,-40.0,-17.0,-22.0,,-33.0,8.0
2020-03-29,Alabama,Chambers County,-34.0,1.0,,-12.0,-28.0,13.0
2020-03-29,Alabama,Cherokee County,-24.0,6.0,,,-29.0,
2020-03-29,Alabama,Chilton County,-41.0,-11.0,,-27.0,-26.0,14.0
2020-03-29,Alabama,Choctaw County,-13.0,-16.0,,,-28.0,
2020-03-29,Alabama,Clarke County,-27.0,-24.0,,,-27.0,
2020-03-29,Alabama,Clay County,-33.0,-14.0,,,-20.0,
2020-03-29,Alabama,Cleburne County,-22.0,-3.0,,-36.0,-9.0,
2020-03-29,Alabama,Coffee County,-28.0,-15.0,,,-26.0,11.0
2020-03-29,Alabama,Colbert County,-30.0,-6.0,-14.0,-20.0,-22.0,12.0
2020-03-29,Alabama,Conecuh County,-49.0,-10.0,,-33.0,-21.0,
2020-03-29,Alabama,Coosa County,,,,,-28.0,
2020-03-29,Alabama,Covington County,-37.0,-15.0,,,-23.0,7.0
2020-03-29,Alabama,Crenshaw County,-57.0,-17.0,,,-35.0,
2020-03-29,Alabama,Cullman County,-33.0,-2.0,86.0,-33.0,-29.0,8.0
2020-03-29,Alabama,Dale County,-34.0,-9.0,,-17.0,-25.0,11.0
2020-03-29,Alabama,Dallas County,-27.0,-2.0,,,-22.0,5.0
2020-03-29,Alabama,DeKalb County,-38.0,-7.0,9.0,-33.0,-23.0,11.0
2020-03-29,Alabama,Elmore County,-40.0,-13.0,50.0,,-37.0,8.0
2020-03-29,Alabama,Escambia County,-35.0,-20.0,,,-27.0,7.0
2020-03-29,Alabama,Etowah County,-47.0,-13.0,19.0,-27.0,-33.0,9.0
2020-03-29,Alabama,Fayette County,-23.0,,,,-28.0,
2020-03-29,Alabama,Franklin County,-27.0,-4.0,,,-14.0,5.0
2020-03-29,Alabama,Geneva County,-34.0,-4.0,,,-28.0,-2.0
2020-03-29,Alabama,Greene County,11.0,-22.0,,-32.0,-33.0,
2020-03-29,Alabama,Hale County,-46.0,-29.0,,,-14.0,
2020-03-29,Alabama,Henry County,-46.0,-8.0,,,-29.0,
2020-03-29,Alabama,Houston County,-46.0,-18.0,23.0,-27.0,-30.0,9.0
2020-03-29,Alabama,Jackson County,-31.0,-4.0,,,-25.0,12.0
2020-03-29,Alabama,Jefferson County,-48.0,-16.0,7.0,-43.0,-36.0,11.0
2020-03-29,Alabama,Lamar County,0.0,2.0,,,-28.0,
2020-03-29,Alabama,Lauderdale County,-43.0,-14.0,-15.0,,-33.0,9.0
2020-03-29,Alabama,Lawrence County,-27.0,-6.0,,,-25.0,7.0
2020-03-29,Alabama,Lee County,-52.0,-23.0,-14.0,,-36.0,11.0
2020-03-29,Alabama,Limestone County,-35.0,-12.0,38.0,,-32.0,9.0
2020-03-29,Alabama,Lowndes County,,,,-29.0,-34.0,
2020-03-29,Alabama,Macon County,-29.0,-12.0,,-42.0,-37.0,
2020-03-29,Alabama,Madison County,-46.0,-17.0,35.0,-39.0,-38.0,10.0
2020-03-29,Alabama,Marengo County,-18.0,-4.0,,,-17.0,
