Date,Country,Region,Retail & recreation,Grocery & pharmacy,Parks,Transit stations,Workplaces,Residential
2020-03-29,United Arab Emirates,Total,-55.0,-26.0,-53.0,-69.0,-45.0,26.0
2020-03-29,Afghanistan,Total,-38.0,-21.0,-13.0,-34.0,-33.0,10.0
2020-03-29,Antigua and Barbuda,Total,-46.0,-21.0,-30.0,-67.0,-48.0,
2020-03-29,Angola,Total,-61.0,-40.0,-39.0,-57.0,-11.0,22.0
2020-03-29,Argentina,Total,-86.0,-61.0,-89.0,-80.0,-57.0,27.0
2020-03-29,Argentina,Buenos Aires,-90.0,-48.0,-91.0,-82.0,-69.0,31.0
2020-03-29,Argentina,Buenos Aires Province,-88.0,-60.0,-91.0,-79.0,-60.0,26.0
2020-03-29,Argentina,Catamarca Province,-71.0,-46.0,-78.0,-81.0,-35.0,29.0
2020-03-29,Argentina,Chaco Province,-79.0,-63.0,-83.0,-92.0,-48.0,24.0
2020-03-29,Argentina,Chubut Province,-92.0,-91.0,-94.0,-93.0,-62.0,28.0
2020-03-29,Argentina,Cordoba,-88.0,-66.0,-90.0,-91.0,-57.0,30.0
2020-03-29,Argentina,Corrientes,-80.0,-63.0,-88.0,-89.0,-47.0,25.0
2020-03-29,Argentina,Entre Rios,-87.0,-65.0,-93.0,-90.0,-54.0,29.0
2020-03-29,Argentina,Formosa Province,-76.0,-53.0,-82.0,-71.0,-37.0,21.0
2020-03-29,Argentina,Jujuy,-80.0,-55.0,-83.0,-92.0,-44.0,27.0
2020-03-29,Argentina,La Pampa,-88.0,-72.0,-88.0,-87.0,-56.0,28.0
2020-03-29,Argentina,La Rioja Province,-70.0,-46.0,-84.0,-86.0,-40.0,26.0
2020-03-29,Argentina,Mendoza Province,-81.0,-56.0,-84.0,-72.0,-49.0,29.0
2020-03-29,Argentina,Misiones Province,-83.0,-66.0,-85.0,-92.0,-51.0,27.0
2020-03-29,Argentina,Neuquen,-96.0,-95.0,-95.0,-92.0,-72.0,33.0
2020-03-29,Argentina,Río Negro,-90.0,-72.0,-92.0,-96.0,-55.0,29.0
2020-03-29,Argentina,Salta Province,-82.0,-55.0,-84.0,-76.0,-47.0,26.0
2020-03-29,Argentina,San Juan Province,-76.0,-50.0,-80.0,-87.0,-46.0,28.0
2020-03-29,Argentina,San Luis Province,-85.0,-60.0,-89.0,-91.0,-56.0,29.0
2020-03-29,Argentina,Santa Cruz Province,-83.0,-62.0,-88.0,-91.0,-56.0,24.0
2020-03-29,Argentina,Santa Fe Province,-87.0,-63.0,-89.0,-77.0,-57.0,29.0
2020-03-29,Argentina,Santiago del Estero Province,-75.0,-49.0,-75.0,-90.0,-46.0,25.0
2020-03-29,Argentina,Tierra del Fuego Province,-87.0,-63.0,-89.0,-92.0,-59.0,24.0
2020-03-29,Argentina,Tucumán,-81.0,-53.0,-78.0,-90.0,-51.0,28.0
2020-03-29,Austria,Total,-87.0,-64.0,-43.0,-71.0,-51.0,14.0
2020-03-29,Austria,Burgenland,-83.0,-36.0,19.0,-43.0,-49.0,16.0
2020-03-29,Austria,Carinthia,-85.0,-62.0,-45.0,-59.0,-48.0,13.0
2020-03-29,Austria,Lower Austria,-82.0,-36.0,8.0,-74.0,-45.0,13.0
2020-03-29,Austria,Salzburg,-93.0,-86.0,-73.0,-81.0,-59.0,15.0
2020-03-29,Austria,Styria,-86.0,-61.0,-42.0,-71.0,-47.0,13.0
2020-03-29,Austria,Tyrol,-95.0,-86.0,-82.0,-85.0,-65.0,16.0
2020-03-29,Austria,Upper Austria,-86.0,-44.0,-19.0,-67.0,-47.0,13.0
2020-03-29,Austria,Vienna,-85.0,-52.0,-44.0,-71.0,-52.0,15.0
2020-03-29,Austria,Vorarlberg,-90.0,-70.0,-68.0,-79.0,-54.0,14.0
2020-03-29,Australia,Total,-45.0,-19.0,-35.0,-58.0,-33.0,13.0
2020-03-29,Australia,Australian Capital Territory,-40.0,-3.0,38.0,-52.0,-31.0,11.0
2020-03-29,Australia,New South Wales,-44.0,-13.0,-27.0,-57.0,-35.0,14.0
2020-03-29,Australia,Northern Territory,-35.0,-13.0,-20.0,-55.0,-23.0,12.0
2020-03-29,Australia,Queensland,-40.0,-19.0,-33.0,-57.0,-30.0,12.0
2020-03-29,Australia,South Australia,-43.0,-15.0,-33.0,-55.0,-28.0,12.0
2020-03-29,Australia,Tasmania,-50.0,-30.0,-70.0,-62.0,-28.0,13.0
2020-03-29,Australia,Victoria,-51.0,-26.0,-55.0,-68.0,-37.0,16.0
2020-03-29,Australia,Western Australia,-40.0,-16.0,-37.0,-55.0,-26.0,13.0
2020-03-29,Aruba,Total,-88.0,-66.0,-80.0,-88.0,-72.0,20.0
2020-03-29,Bosnia and Herzegovina,Total,-76.0,-50.0,-22.0,-59.0,-50.0,13.0
2020-03-29,Barbados,Total,-70.0,-47.0,-60.0,-77.0,-52.0,15.0
2020-03-29,Barbados,Christ Church,-81.0,-57.0,,-83.0,-51.0,17.0
2020-03-29,Barbados,Saint George,-35.0,,-53.0,,-29.0,
2020-03-29,Barbados,Saint James,-76.0,-50.0,,,-56.0,
2020-03-29,Barbados,Saint John,,,,,-36.0,
2020-03-29,Barbados,Saint Michael,-70.0,-48.0,-70.0,-73.0,-55.0,14.0
2020-03-29,Barbados,Saint Peter,-74.0,-18.0,,,-31.0,
2020-03-29,Barbados,Saint Philip,-72.0,-49.0,,,-49.0,
2020-03-29,Barbados,Saint Thomas,-13.0,,,,-29.0,
2020-03-29,Bangladesh,Total,-68.0,-46.0,-26.0,-66.0,-60.0,24.0
2020-03-29,Belgium,Total,-84.0,-53.0,-66.0,-76.0,-52.0,17.0
2020-03-29,Belgium,Brussels,-89.0,-65.0,-64.0,-82.0,-62.0,19.0
2020-03-29,Belgium,Flanders,-82.0,-46.0,-65.0,-74.0,-50.0,17.0
2020-03-29,Belgium,Wallonia,-84.0,-62.0,-72.0,-77.0,-52.0,16.0
2020-03-29,Burkina Faso,Total,-34.0,-25.0,-22.0,-53.0,-3.0,15.0
2020-03-29,Bulgaria,Total,-66.0,-36.0,-32.0,-58.0,-29.0,11.0
2020-03-29,Bulgaria,Blagoevgrad Province,-74.0,-47.0,-32.0,-55.0,-43.0,10.0
2020-03-29,Bulgaria,Burgas,-65.0,-38.0,-40.0,-51.0,-35.0,11.0
2020-03-29,Bulgaria,Dobrich Province,-61.0,-33.0,-38.0,,-19.0,18.0
2020-03-29,Bulgaria,Gabrovo,-61.0,-34.0,-16.0,,-17.0,17.0
2020-03-29,Bulgaria,Haskovo Province,-66.0,-43.0,-14.0,-67.0,-27.0,13.0
2020-03-29,Bulgaria,Jambol,-58.0,-44.0,-42.0,,-20.0,14.0
2020-03-29,Bulgaria,Kardzhali Province,-71.0,-48.0,-27.0,-76.0,-39.0,12.0
